order_id,order_date,customer_name,email,country,category,quantity,unit_price,customer_age
ORD1072,19/08/2024,  Jonas Becker,  jonas.becker@example.com  ,U.K.,Furniture,3,912.87,41
ORD1048,19.06.2024,  Anna Fischer,null,germany,Office Supplies,5,"€1,379.21",20
ORD1431,01/20/2024,Paul  Schmidt ,  Paul.Schmidt@Example.Com  ,NL,Office Supplies,3,€753.73,22
ORD2065,23/02/2024,Paul Weber,  Paul.Weber@Example.Com  ,GERMANY ,Furniture,3,€561.25,30
ORD2614,26/03/2024,Marie Müller,  Marie.Müller@Example.Com  ,DE,Office Supplies,5,€1199.05,
ORD1062,03/09/2024,Marie  Becker ,  MARIE.BECKER@EXAMPLE.COM  ,United Kingdom,Furniture,2,207.05,48
ORD3244,January 18 2024,Felix  Fischer ,null,france ,Furniture,2,€137.77,66
ORD1112,29/01/2024,Sofia Fischer,  Sofia.Fischer@Example.Com  ,netherlands,Office Supplies,1,€372.66,35
ORD3175,2024-07-28,  Marie Müller,  Marie.Müller@Example.Com  ,DE,Office Supplies,2,€529.22,36
ORD3120,2024-01-20,Lukas Klein,  Lukas.Klein@Example.Com  ,Netherlands,Furniture,5,804.57,45
ORD1018,June 02 2024,Paul Schmidt,  PAUL.SCHMIDT@EXAMPLE.COM  ,Germany,Furniture,1,"€1,216.55",33
ORD1102,24.02.2024,Marie  Weber ,  Marie.Weber@Example.Com  ,GERMANY ,Office Supplies,5,€1217.23,20
ORD3368,04.02.2024,Emma  Wagner ,  emma.wagner@example.com  ,NL,Electronics,4,"€1,125.75",29
ORD2310,07/08/2024,  Sofia Becker,  SOFIA.BECKER@EXAMPLE.COM  ,The Netherlands,Furniture,5,€418.90,48
ORD2828,01/14/2024,Anna Becker,  Anna.Becker@Example.Com  ,ES,Office Supplies,2,€1250.75,42
ORD1691,03/07/2024,Marie Klein,  Marie.Klein@Example.Com  ,uk,Office Supplies,4,"1,109.96",33
ORD1456,01/02/2024,  Felix Wagner,  felix.wagner@example.com  ,FR,Furniture,4,627.56,41
ORD1363,28/08/2024,Jonas  Klein ,  Jonas.Klein@Example.Com  ,germany,Furniture,4,"€1,357.42",55
ORD2735,March 14 2024,  Lukas Weber,  lukas.weber@example.com  , France,Electronics,5,"1,005.63",54
ORD1060,June 01 2024,Emma  Weber ,  EMMA.WEBER@EXAMPLE.COM  ,Netherlands,Furniture,N/A,€793.85,66
ORD2877,07/06/2024,  Emma Becker,  emma.becker@example.com  ,España,Furniture,4,586.73,31
ORD1280,06/01/2024,Paul  Becker ,  Paul.Becker@Example.Com  ,ES,Electronics,4,€423.42,48
ORD1079,05/18/2024,Felix Fischer,  FELIX.FISCHER@EXAMPLE.COM  ,The Netherlands,Office Supplies,-3,€865.13,65
ORD3213,11.07.2024,  Emma Becker,  EMMA.BECKER@EXAMPLE.COM  ,germany,Furniture,5,176.48,63
ORD2302,2024-03-10,Sofia Müller,  SOFIA.MÜLLER@EXAMPLE.COM  ,spain ,Furniture,4,€689.33,26
ORD3456,June 23 2024,  Lukas Weber,  Lukas.Weber@Example.Com  ,United Kingdom,-,5,811.58,47
ORD1286,March 01 2024,Anna  Fischer ,  Anna.Fischer@Example.Com  ,U.K.,Furniture,4,"1,048.51",22
ORD1354,06/19/2024,  Marie Becker,  Marie.Becker@Example.Com  ,England,Office Supplies,3,1017.49,43
ORD3395,03/19/2024,  Emma Weber,  emma.weber@example.com  ,france ,Office Supplies,4,917.80,
ORD2107,04.07.2024,Marie  Wagner ,  marie.wagner@example.com  ,U.K.,Electronics,3,"€1,025.31",30
ORD2838,08/06/2024,Emma Müller,  emma.müller@example.com  ,France,Furniture,4,1027.21,45
ORD2736,19.05.2024,  Anna Klein,  Anna.Klein@Example.Com  ,U.K.,Furniture,N/A,27.41,67
ORD3365,01/07/2024,Sofia  Weber ,  Sofia.Weber@Example.Com  ,Spain,Office Supplies,2,402.46,47
ORD1477,31.07.2024,  Lukas Weber,  lukas.weber@example.com  ,Germany,Furniture,4,"€1,307.92",28
ORD1826,2024-03-19,  Anna Wagner,  ANNA.WAGNER@EXAMPLE.COM  , France,Furniture,5,132.65,48
ORD1627,15/07/2024,  Sofia Fischer,  SOFIA.FISCHER@EXAMPLE.COM  ,uk,Electronics,5,706.94,61
ORD1341,18/03/2024,  Jonas Wagner,  JONAS.WAGNER@EXAMPLE.COM  ,U.K.,Furniture,5,547.10,63
ORD2882,19/08/2024,  Anna Becker,  ANNA.BECKER@EXAMPLE.COM  ,france ,Electronics,3,597.05,28
ORD2668,30.03.2024,Sofia Fischer,  sofia.fischer@example.com  ,France,Electronics,2,€1402.46,45
ORD3032,2024-09-20,Anna Becker,  ANNA.BECKER@EXAMPLE.COM  ,ES,Furniture,5,53.25,53
ORD2265,February 11 2024,Anna  Becker ,  Anna.Becker@Example.Com  ,Deutschland,Office Supplies,2,€926.30,N/A
ORD2941,April 01 2024,Jonas Wagner,  JONAS.WAGNER@EXAMPLE.COM  ,España,-,3,51.50,61
ORD1598,09/02/2024,Emma  Müller ,  EMMA.MÜLLER@EXAMPLE.COM  ,UK,Office Supplies,3,€170.15,24
ORD2925,19/07/2024,Emma  Becker ,  emma.becker@example.com  ,España,Furniture,4,"€1,403.75",59
ORD3454,June 26 2024,  Sofia Klein,  Sofia.Klein@Example.Com  ,netherlands,Electronics,5,508.12,69
ORD3262,04.09.2024,Sofia  Weber ,  sofia.weber@example.com  , germany,Electronics,4,€1299.57,39
ORD3313,05/07/2024,Emma  Schmidt ,  Emma.Schmidt@Example.Com  ,UK,Electronics,4,"1,381.22",61
ORD1586,2024-05-20,  Jonas Weber,  Jonas.Weber@Example.Com  ,England,Electronics,4,-,48
ORD2711,01/02/2024,Emma  Weber ,  EMMA.WEBER@EXAMPLE.COM  ,Deutschland,Furniture,4,425.52,37
ORD3125,01/03/2024,Sofia Weber,  Sofia.Weber@Example.Com  , France,Furniture,5,1049.81,47
ORD2246,2024-07-12,Lukas Wagner,  lukas.wagner@example.com  ,Deutschland,Electronics,3,375.95,64
ORD1184,09/15/2024,  Sofia Klein,  sofia.klein@example.com  ,uk,Electronics,1,€1317.52,49
ORD3252,29/04/2024,Jonas Weber,  JONAS.WEBER@EXAMPLE.COM  ,FR,Electronics,3,€123.31,59
ORD2438,03/03/2024,Lukas Klein,  lukas.klein@example.com  ,netherlands,-,4,€1030.86,40
ORD3297,2024-03-20,Sofia Wagner,  SOFIA.WAGNER@EXAMPLE.COM  ,uk,Office Supplies,5,€21.09,65
ORD3401,2024-08-29,Emma  Weber ,  emma.weber@example.com  ,UK,Office Supplies,5,101.13,67
ORD2850,2024-07-11,Emma Müller,  Emma.Müller@Example.Com  ,UK,Electronics,2,€1072.42,33
ORD3133,28/06/2024,  Anna Wagner,null,ES,Electronics,5,852.84,56
ORD2507,2024-04-30,  Sofia Klein,  Sofia.Klein@Example.Com  ,Netherlands,Furniture,2,638.95,40
ORD3149,2024-06-07,Marie  Müller ,  marie.müller@example.com  ,spain ,Furniture,2,587.92,37
ORD1530,April 09 2024,Paul Weber,  paul.weber@example.com  ,The Netherlands,Office Supplies,1,€1172.74,31
ORD1833,05/04/2024,  Paul Weber,  paul.weber@example.com  ,Spain,Office Supplies,5,€602.52,238
ORD2279,February 18 2024,  Sofia Wagner,  sofia.wagner@example.com  ,GERMANY ,Electronics,3, ,30
ORD2749,03/01/2024,Felix Weber,  FELIX.WEBER@EXAMPLE.COM  ,France,Furniture,1,333.82,64
ORD2856,January 31 2024,  Anna Klein,  Anna.Klein@Example.Com  ,Germany,Office Supplies,1,686.32,22
ORD2576,March 04 2024,  Anna Klein,  anna.klein@example.com  , France,Office Supplies,2,1311.43,28
ORD3173,April 21 2024,Sofia Schmidt,  sofia.schmidt@example.com  ,ES,Electronics,3,€54.98,63
ORD1131,24.01.2024,Felix  Weber ,  Felix.Weber@Example.Com  ,Germany,Office Supplies,2,"1,298.69",59
ORD1102,24.02.2024,Marie  Weber ,  Marie.Weber@Example.Com  ,GERMANY ,Office Supplies,5,€1217.23,20
ORD1240,08/15/2024,  Paul Weber,  paul.weber@example.com  ,España,Electronics,1,"1,203.15",18
ORD3071,2024-06-20,Felix  Wagner ,  felix.wagner@example.com  ,Netherlands,Furniture,N/A,51.68,21
ORD1677,January 10 2024,Marie Wagner,  marie.wagner@example.com  ,FR,Furniture,5,€781.15,20
ORD2448,29/04/2024,Marie  Müller ,  MARIE.MÜLLER@EXAMPLE.COM  ,Netherlands,Furniture,4,770.98,53
ORD2804,02.05.2024,  Anna Klein,null,Netherlands,Furniture,5,€486.43,22
ORD1265,2024-01-27,Paul Weber,  paul.weber@example.com  ,uk,Electronics,1,€794.07,37
ORD3220,April 10 2024,Sofia Schmidt,  sofia.schmidt@example.com  , germany,Office Supplies,1,"€1,383.04",41
ORD1770,31/08/2024,Sofia  Schmidt ,  SOFIA.SCHMIDT@EXAMPLE.COM  ,The Netherlands,Furniture,3,402.33,35
ORD1781,08/02/2024,Anna  Weber ,  anna.weber@example.com  , France,N/A,1,112.34,28
ORD1976,03/23/2024,  Emma Klein,  Emma.Klein@Example.Com  ,The Netherlands,Electronics,5,931.20,45
ORD1204,08/09/2024,Emma Schmidt,  EMMA.SCHMIDT@EXAMPLE.COM  ,france ,Office Supplies,4,977.12,49
ORD2496,08/03/2024,Emma  Schmidt ,  EMMA.SCHMIDT@EXAMPLE.COM  ,FR,Office Supplies,5,"€1,272.12",41
ORD2701,2024-05-22,Marie  Müller ,  Marie.Müller@Example.Com  ,Deutschland,Furniture,1,"1,216.74",null
ORD2744,2024-09-05,  Emma Wagner,  EMMA.WAGNER@EXAMPLE.COM  ,uk,Furniture,5,-,55
ORD3353,09/26/2024,Lukas Schmidt,  Lukas.Schmidt@Example.Com  ,GERMANY ,Electronics,4,€889.32,25
ORD2231,2024-01-01,Paul Wagner,  PAUL.WAGNER@EXAMPLE.COM  , France,,2,€844.48,69
ORD1809,2024-04-05,Marie  Fischer ,  Marie.Fischer@Example.Com  ,spain ,Electronics,2,€48.09,21
ORD1744,March 26 2024,  Jonas Müller,  JONAS.MÜLLER@EXAMPLE.COM  ,NL,Furniture,3,685.25,43
ORD1111,23.06.2024,Anna Fischer,  Anna.Fischer@Example.Com  ,NL,Furniture,5,1217.60,24
ORD2868,2024-02-09,  Anna Becker,  Anna.Becker@Example.Com  ,netherlands,Office Supplies,2,604.70,38
ORD2768,April 07 2024,  Marie Wagner,,United Kingdom,Office Supplies,1,€560.96,45
ORD2492,2024-05-18,Anna  Schmidt ,  Anna.Schmidt@Example.Com  , germany,Furniture,5,799.66,26
ORD2442,07/16/2024,Jonas  Fischer ,  jonas.fischer@example.com  , France,Electronics,1,€370.10,53
ORD2130,September 16 2024,  Paul Fischer,  PAUL.FISCHER@EXAMPLE.COM  ,Spain,Electronics,2,"1,140.03",30
ORD2786,05/06/2024,  Anna Schmidt,  Anna.Schmidt@Example.Com  , germany,Office Supplies,1,"€1,242.81",193
ORD3476,05/04/2024,Sofia Weber,  Sofia.Weber@Example.Com  ,uk,Furniture,-1,€724.05,30
ORD2553,21.05.2024,Paul Müller,  Paul.Müller@Example.Com  ,NL,Electronics,1,17.42,22
ORD3234,2024-02-24,Sofia  Fischer ,  sofia.fischer@example.com  ,netherlands,Office Supplies,1,"1,490.07",43
ORD1584,2024-03-10,Anna  Klein ,  ANNA.KLEIN@EXAMPLE.COM  ,france ,Office Supplies,2,752.76, 
ORD1209,2024-04-05,  Sofia Fischer,  sofia.fischer@example.com  , germany,Electronics,4,€1135.93,62
ORD3196,May 14 2024,  Jonas Klein,  Jonas.Klein@Example.Com  ,NL,Furniture,1,"1,405.77",45
ORD1364,07.05.2024,  Sofia Weber,  SOFIA.WEBER@EXAMPLE.COM  ,DE,Office Supplies,4,€1032.12,62
ORD2187,14.08.2024,Sofia  Wagner ,  Sofia.Wagner@Example.Com  ,Netherlands,Office Supplies,2,€202.98,60
ORD1140,05/06/2024,  Sofia Müller,null,UK,Furniture,3,€600.54,49
ORD1897,02/09/2024,Jonas Klein,  Jonas.Klein@Example.Com  ,ES,Electronics,5,€878.47,26
ORD2725,2024-09-02,  Paul Schmidt,  PAUL.SCHMIDT@EXAMPLE.COM  ,france ,Electronics,3,1350.16,68
ORD2217,07/29/2024,  Paul Fischer,  paul.fischer@example.com  ,GERMANY ,Furniture,1,€452.79,52
ORD2063,2024-06-11,  Lukas Fischer,  Lukas.Fischer@Example.Com  ,Deutschland,Furniture,2,586.21,18
ORD1171,09/20/2024,  Sofia Müller,  SOFIA.MÜLLER@EXAMPLE.COM  , France,Furniture,3,€621.92,54
ORD2061,2024-03-25,Felix Klein,,GERMANY ,Electronics,2,147.25,60
ORD1368,January 08 2024,Anna  Becker ,  Anna.Becker@Example.Com  ,France,Furniture,1,€798.23,23
ORD2990,January 28 2024,Felix  Weber ,  Felix.Weber@Example.Com  ,Spain,Furniture,5,€172.20,29
ORD1236,May 12 2024,Sofia  Klein ,N/A,United Kingdom,Office Supplies,4,€609.00,42
ORD2108,05/08/2024,  Anna Fischer,  ANNA.FISCHER@EXAMPLE.COM  ,spain ,Furniture,1,€1171.04,19
ORD1868,03/20/2024,Paul  Schmidt ,  paul.schmidt@example.com  ,Deutschland,Furniture,4,"1,078.41",26
ORD1969,March 19 2024,Lukas Klein,  LUKAS.KLEIN@EXAMPLE.COM  ,spain ,Office Supplies,2,862.95,64
ORD2610,01/13/2024,  Anna Fischer,  ANNA.FISCHER@EXAMPLE.COM  ,NL,Electronics,3,843.42,27
ORD1825,January 13 2024,Jonas Becker,  JONAS.BECKER@EXAMPLE.COM  ,France,Electronics,2,687.99,39
ORD3026,09/04/2024,Sofia Müller,  Sofia.Müller@Example.Com  ,United Kingdom,Electronics,5,409.19,53
ORD3486,17/07/2024,Jonas Schmidt,  jonas.schmidt@example.com  ,netherlands,Electronics,5,€619.88,46
ORD3267,01/06/2024,Sofia Wagner,  sofia.wagner@example.com  ,Germany,Furniture,3,€1429.44,N/A
ORD1014,April 16 2024,Jonas  Schmidt ,  Jonas.Schmidt@Example.Com  ,UK,Office Supplies,2,187.98,62
ORD3069,2024-05-14,Lukas Klein,  LUKAS.KLEIN@EXAMPLE.COM  ,UK,Electronics,3,881.96,40
ORD3218,March 01 2024,Paul  Becker ,  Paul.Becker@Example.Com  ,España,Furniture,4,249.87,39
ORD2228,July 05 2024,Anna  Weber ,  Anna.Weber@Example.Com  ,netherlands,Office Supplies,1, ,31
ORD3449,28.01.2024,  Marie Schmidt,  MARIE.SCHMIDT@EXAMPLE.COM  ,spain ,Electronics,1,"1,406.17",23
ORD1273,March 18 2024,Emma  Fischer ,  EMMA.FISCHER@EXAMPLE.COM  ,france ,-,5,"€1,066.06",37
ORD1142,2024-02-17,Emma  Weber ,  Emma.Weber@Example.Com  ,Germany,Electronics,3,1241.62,64
ORD3161,09.07.2024,  Felix Wagner,  Felix.Wagner@Example.Com  ,The Netherlands,Furniture,5,494.61,44
ORD1084,02/13/2024,Marie  Müller ,  marie.müller@example.com  , germany,Furniture,3,842.37,33
ORD2568,21/07/2024,Sofia Weber, ,DE,Electronics,1,€1426.15,41
ORD1230,May 31 2024,Jonas Schmidt,  Jonas.Schmidt@Example.Com  ,FR,Furniture,2,691.12,22
ORD2731,17.02.2024,  Sofia Müller,  SOFIA.MÜLLER@EXAMPLE.COM  ,France,Electronics,5,"€1,003.80",65
ORD2917,12.02.2024,Felix Klein,null, germany,Office Supplies, ,726.62,39
ORD2846,February 12 2024,Lukas Schmidt,  lukas.schmidt@example.com  ,U.K.,Furniture,1,312.67,58
ORD2332,May 08 2024,Paul Wagner,  paul.wagner@example.com  , France,Furniture,3,€990.16,21
ORD1510,07/01/2024,  Paul Klein,  PAUL.KLEIN@EXAMPLE.COM  ,GERMANY ,Electronics,2,€42.19,25
ORD3320,29/04/2024,Paul Becker,  Paul.Becker@Example.Com  ,Spain,Electronics,2,€425.53,34
ORD2962,22/01/2024,Felix Wagner,  felix.wagner@example.com  ,España,Office Supplies,1,1319.15,35
ORD2812,12/03/2024,Felix  Fischer ,  Felix.Fischer@Example.Com  , France,Office Supplies,-3,498.69,null
ORD2330,14.05.2024,Lukas  Schmidt ,  LUKAS.SCHMIDT@EXAMPLE.COM  ,Deutschland,Electronics,1,N/A,58
ORD2089,2024-02-10,Sofia  Becker ,  Sofia.Becker@Example.Com  ,France,Electronics,4,€957.97,25
ORD3027,July 14 2024,  Sofia Weber,  sofia.weber@example.com  ,uk,Office Supplies,5,€921.28,68
ORD3005,January 22 2024,  Anna Schmidt,  ANNA.SCHMIDT@EXAMPLE.COM  ,España,Furniture,5,1014.47,26
ORD3419,June 12 2024,Sofia  Müller ,  SOFIA.MÜLLER@EXAMPLE.COM  , France,Furniture,2,€1400.32,62
ORD3290,February 09 2024,  Anna Fischer,  anna.fischer@example.com  ,GERMANY ,Furniture,4,€97.79,N/A
ORD1944,2024-01-06,Emma Klein,  Emma.Klein@Example.Com  ,UK,,1,"1,053.08",66
ORD2940,04/15/2024,  Sofia Schmidt,,España,N/A,2,€72.51,38
ORD2097,July 15 2024,Felix  Klein ,  felix.klein@example.com  ,france ,Office Supplies,4,359.22,46
ORD1671,03/02/2024,  Marie Klein,  Marie.Klein@Example.Com  ,United Kingdom,Office Supplies,5,38.36,23
ORD2185,06/17/2024,  Felix Weber,  felix.weber@example.com  ,France,Furniture,4,€928.67,38
ORD2641,13.06.2024,  Marie Weber,  MARIE.WEBER@EXAMPLE.COM  ,England,Office Supplies,1,"1,137.95",53
ORD3242,25.06.2024,  Anna Wagner,  ANNA.WAGNER@EXAMPLE.COM  ,france ,Office Supplies,3,810.60,32
ORD1360,July 25 2024,  Felix Becker,  felix.becker@example.com  ,The Netherlands,Electronics,5,"1,274.43",32
ORD2974,01/11/2024,Emma  Becker ,  EMMA.BECKER@EXAMPLE.COM  ,GERMANY ,Electronics,4,"1,385.94",49
ORD1004,05.06.2024,Jonas Schmidt,  JONAS.SCHMIDT@EXAMPLE.COM  ,spain ,Office Supplies,4,"1,119.60",54
ORD3081,May 06 2024,Sofia  Wagner ,  sofia.wagner@example.com  ,Spain,Office Supplies,4,-,25
ORD2884,July 05 2024,Marie Weber,  Marie.Weber@Example.Com  ,United Kingdom,Office Supplies,1,€20.40,67
ORD2678,15/07/2024,Emma  Schmidt ,  emma.schmidt@example.com  , France,Furniture,4,€948.41,68
ORD1098,30/08/2024,  Anna Becker,  anna.becker@example.com  ,United Kingdom,Electronics,4,€278.59,49
ORD1960,07/18/2024,  Sofia Fischer,  sofia.fischer@example.com  ,spain ,Office Supplies,3,168.20,46
ORD3315,01/14/2024,Lukas Weber,  lukas.weber@example.com  ,GERMANY ,Furniture,4,734.30,19
ORD1093,22/07/2024,Jonas  Müller ,  Jonas.Müller@Example.Com  ,UK,Office Supplies,5,€411.13,43
ORD2797,May 24 2024,Marie Weber,  MARIE.WEBER@EXAMPLE.COM  ,England,Office Supplies,3,1168.70,29
ORD2339,22.08.2024,Emma  Fischer ,  emma.fischer@example.com  ,uk,Furniture,1,303.79,43
ORD1037,01/06/2024,  Marie Becker,  MARIE.BECKER@EXAMPLE.COM  ,netherlands,Furniture,4,624.79,57
ORD1278,03/20/2024,Marie  Wagner ,  MARIE.WAGNER@EXAMPLE.COM  ,España,Electronics,1,571.33,68
ORD3443,March 19 2024,Marie  Müller ,  MARIE.MÜLLER@EXAMPLE.COM  ,España,Furniture,3,391.84,55
ORD2858,06.01.2024,Jonas Schmidt,  Jonas.Schmidt@Example.Com  ,spain ,Furniture,4,1264.53,62
ORD3310,15.03.2024,Lukas  Becker ,  LUKAS.BECKER@EXAMPLE.COM  ,France,Furniture,2,65.84,21
ORD2729,13.07.2024,Anna Wagner,  Anna.Wagner@Example.Com  ,netherlands,Furniture,2,168.50,38
ORD1068,April 03 2024,Anna Becker,  anna.becker@example.com  ,france ,Furniture,2,€1098.62,37
ORD1958,2024-07-24,  Felix Becker,  FELIX.BECKER@EXAMPLE.COM  ,NL,Furniture,2,972.71,59
ORD2268,16/02/2024,Felix Weber,  Felix.Weber@Example.Com  ,España, ,3,1106.82,69
ORD1756,21/01/2024,  Marie Schmidt,  marie.schmidt@example.com  ,germany,Office Supplies,1,€542.77,60
ORD2455,26.02.2024,Lukas Becker,N/A, France,Electronics,5,€486.18,29
ORD2221,2024-07-13,Anna  Müller ,  ANNA.MÜLLER@EXAMPLE.COM  ,FR,null,4,524.93,25
ORD2864,05.07.2024,Lukas Wagner,  lukas.wagner@example.com  , germany,Furniture,1,€131.26, 
ORD2500,July 18 2024,  Paul Müller,  PAUL.MÜLLER@EXAMPLE.COM  , France,Furniture,4,"1,301.98",62
ORD3184,2024-01-21,Emma  Wagner ,  EMMA.WAGNER@EXAMPLE.COM  ,The Netherlands,Office Supplies,2,€1207.06,68
ORD3046,11.09.2024,Sofia Schmidt,  Sofia.Schmidt@Example.Com  ,NL,Furniture,5,"1,007.10",36
ORD3049,2024-06-11,Paul Schmidt,  PAUL.SCHMIDT@EXAMPLE.COM  ,Spain,Office Supplies,5,€1477.56,45
ORD1785,2024-02-19,  Marie Schmidt,  Marie.Schmidt@Example.Com  ,France,Office Supplies,3,€498.61,66
ORD1426,24.09.2024,Marie  Becker ,  Marie.Becker@Example.Com  ,GERMANY ,Furniture,5,€734.58,67
ORD1069,2024-09-14,Anna Becker,  anna.becker@example.com  ,GERMANY ,Furniture,4,€23.27,44
ORD2464,08/25/2024,  Felix Müller,  FELIX.MÜLLER@EXAMPLE.COM  ,Netherlands,Office Supplies,5,€1291.09,69
ORD1648,01/21/2024,Felix Schmidt,  FELIX.SCHMIDT@EXAMPLE.COM  ,DE,Electronics,2,€1241.46,55
ORD1925,06/02/2024,Sofia Fischer,  Sofia.Fischer@Example.Com  ,United Kingdom,Electronics,5,"€1,295.06",48
ORD2653,04/10/2024,  Lukas Becker,  LUKAS.BECKER@EXAMPLE.COM  ,España,Electronics,N/A,€926.03,N/A
ORD1606,2024-09-14,  Emma Fischer,  emma.fischer@example.com  ,France,Electronics,2,1391.27,52
ORD2959,January 02 2024,Felix  Klein ,  FELIX.KLEIN@EXAMPLE.COM  , germany,Electronics,2,"1,098.00",52
ORD2012,10/01/2024,Sofia Fischer,  sofia.fischer@example.com  ,Deutschland,Electronics,2,€353.43,32
ORD2102,07/09/2024,  Emma Becker,  Emma.Becker@Example.Com  ,Spain,Electronics,1,"€1,310.94",44
ORD3231,2024-03-25,Sofia  Klein ,  sofia.klein@example.com  ,ES,Office Supplies,5,€602.03,61
ORD2981,04/06/2024,Lukas Becker,  lukas.becker@example.com  ,UK,Electronics,2,€626.77,32
ORD3293,2024-08-10,Felix  Müller ,  FELIX.MÜLLER@EXAMPLE.COM  ,germany,Furniture,4,827.96,67
ORD3070,24/03/2024,Felix  Schmidt ,  FELIX.SCHMIDT@EXAMPLE.COM  ,France,Office Supplies,3,€268.64,18
ORD3327,08.05.2024,  Anna Müller,  Anna.Müller@Example.Com  ,spain ,Electronics,4,€440.32,60
ORD1886,03.05.2024,  Anna Becker,  ANNA.BECKER@EXAMPLE.COM  ,France,Furniture,4,"€1,299.86",44
ORD2505,09/16/2024,Anna Becker,  anna.becker@example.com  ,Netherlands,Office Supplies,1,1441.06,32
ORD2152,May 27 2024,Lukas  Becker ,  Lukas.Becker@Example.Com  , France,Furniture,1,"€1,319.08",55
ORD2977,06/05/2024,  Marie Klein,  marie.klein@example.com  ,U.K.,Electronics,3,€68.65,24
ORD2637,06/06/2024,Marie Fischer,  MARIE.FISCHER@EXAMPLE.COM  ,Netherlands,Electronics,4,1424.12,52
ORD2524,21.04.2024,  Anna Schmidt,,france ,Electronics,2,1179.63,28
ORD2440,February 02 2024,  Emma Becker,  emma.becker@example.com  ,spain ,Electronics,2,€800.88,35
ORD1904,June 02 2024,Paul  Klein ,  paul.klein@example.com  ,France,Furniture,4,546.78,62
ORD1953,15/06/2024,Marie Schmidt,  marie.schmidt@example.com  ,U.K.,Office Supplies,2,€1370.20,32
ORD2916,05/05/2024,  Sofia Weber,  SOFIA.WEBER@EXAMPLE.COM  ,France,Electronics,null,€806.85,55
